name	source
light beige	xkcd
light blue	xkcd+css
light blue green	xkcd
light blue grey	xkcd
light bluish green	xkcd
light bright green	xkcd
light brown	xkcd
light burgundy	xkcd
light coral	css
light cyan	xkcd+css
light eggplant	xkcd
light forest green	xkcd
light gold	xkcd
light goldenrod yellow	css
light grass green	xkcd
light gray	css
light green	xkcd+css
light green blue	xkcd
light greenish blue	xkcd
light grey	xkcd+css
light grey blue	xkcd
light grey green	xkcd
light indigo	xkcd
light khaki	xkcd
light lavendar	xkcd
light lavender	xkcd
light light blue	xkcd
light light green	xkcd
light lilac	xkcd
light lime	xkcd
light lime green	xkcd
light magenta	xkcd
light maroon	xkcd
light mauve	xkcd
light mint	xkcd
light mint green	xkcd
light moss green	xkcd
light mustard	xkcd
light navy	xkcd
light navy blue	xkcd
light neon green	xkcd
light olive	xkcd
light olive green	xkcd
light orange	xkcd
light pastel green	xkcd
light pea green	xkcd
light peach	xkcd
light periwinkle	xkcd
light pink	xkcd+css
light plum	xkcd
light purple	xkcd
light red	xkcd
light rose	xkcd
light royal blue	xkcd
light sage	xkcd
light salmon	xkcd+css
light sea green	xkcd+css
light seafoam	xkcd
light seafoam green	xkcd
light sky blue	xkcd+css
light slate gray	css
light slate grey	css
light steel blue	css
light tan	xkcd
light teal	xkcd
light turquoise	xkcd
light urple	xkcd
light violet	xkcd
light yellow	xkcd+css
light yellow green	xkcd
light yellowish green	xkcd
lightblue	xkcd
lighter green	xkcd
lighter purple	xkcd
lightgreen	xkcd
lightish blue	xkcd
lightish green	xkcd
lightish purple	xkcd
lightish red	xkcd
lilac	xkcd
liliac	xkcd
lime	xkcd+css
lime green	xkcd+css
lime yellow	xkcd
linen	css
lipstick	xkcd
lipstick red	xkcd
macaroni and cheese	xkcd
magenta	xkcd+css
mahogany	xkcd
maize	xkcd
mango	xkcd
manilla	xkcd
marigold	xkcd
marine	xkcd
marine blue	xkcd
maroon	xkcd+css
mauve	xkcd
medium aquamarine	css
medium blue	xkcd+css
medium brown	xkcd
medium green	xkcd
medium grey	xkcd
medium orchid	css
medium pink	xkcd
medium purple	xkcd+css
medium sea green	css
medium slate blue	css
medium spring green	css
medium turquoise	css
medium violet red	css
melon	xkcd
merlot	xkcd
metallic blue	xkcd
mid blue	xkcd
mid green	xkcd
midnight	xkcd
midnight blue	xkcd+css
midnight purple	xkcd
military green	xkcd
milk chocolate	xkcd
mint	xkcd
mint cream	css
mint green	xkcd
minty green	xkcd
misty rose	css
moccasin	css
mocha	xkcd
moss	xkcd
moss green	xkcd
mossy green	xkcd
mud	xkcd
mud brown	xkcd
mud green	xkcd
muddy brown	xkcd
muddy green	xkcd
muddy yellow	xkcd
mulberry	xkcd
murky green	xkcd
mushroom	xkcd
mustard	xkcd
mustard brown	xkcd
mustard green	xkcd
mustard yellow	xkcd
muted blue	xkcd
muted green	xkcd
muted pink	xkcd
muted purple	xkcd
nasty green	xkcd
navajo white	css
navy	xkcd+css
navy blue	xkcd
navy green	xkcd
neon blue	xkcd
neon green	xkcd
